Babbacombe Avenue,Blackpool,r,53.7854,-3.0536
Babbacombe Drive,Ferryhill,r,54.6834,-1.5349
Babbacombe Drive,Nottingham,r,52.9952,-1.1547
Babbacombe Grove,Manchester,r,53.5363,-2.2307
Babbacombe Road,Liverpool,r,53.3914,-2.8863
Babbacombe Road,Stockport,r,53.3943,-2.1302
Babbacombe Road,Warrington,r,53.3869,-2.6596
Babbacombe Way,Hucknall,r,53.0321,-1.2306
Babbage Gardens,Stockton-on-Tees,r,54.5884,-1.3568
Babbage Road,Sandycroft,r,53.2004,-2.9953
Babbage Way,Worksop,r,53.312,-1.1289
Babbington Crescent,Carlton,r,52.9807,-1.0892
Babbington Drive,Nottingham,r,52.9872,-1.1970
Babbington Lane,Swingate,r,52.9894,-1.2572
Babbington Street,Tibshelf,r,53.1426,-1.3394
Babbington,Broxtowe,h,52.9877,-1.2696
Babell,Sir y Fflint - Flintshire,v,53.2568,-3.2683
Babington Close,Sheffield,r,53.365,-1.4307
Babington Court,Sheffield,r,53.3642,-1.4307
Babur Road,Sheffield,r,53.3943,-1.4526
Babworth Crescent,Retford,r,53.32,-0.9590
Babworth Road,Retford,r,53.3185,-0.9633
Babworth,Bassetlaw,o,53.3227,-0.9782
Babyhouse Lane,Craven,r,53.9137,-2.0493
Babylon Lane,Adlington,r,53.6219,-2.5915
