Bell Avenue,County Durham,r,54.7416,-1.5327
Bell Avenue,Stoke-on-Trent,r,52.983,-2.1231
Bell Avenue,Sutton Lane Ends,r,53.2361,-2.1117
Bella Avenue,Barnsley,r,53.5324,-1.2919
Bella Close,Heanor,r,53.0247,-1.3349
Bella Street,Bolton,r,53.564,-2.4533
Bella Wood View,Barnburgh,r,53.5241,-1.2715
Bellaby Park,Nawton,r,54.2542,-0.9943
Belladonna Road,Liverpool,r,53.4435,-2.9168
Bellair Avenue,Crosby,r,53.4897,-3.0075
Bellairs Road,Liverpool,r,53.4359,-2.9273
Bellairs Street,Bolton,r,53.5596,-2.4494
Bellamy Avenue,Morecambe,r,54.062,-2.8713
Bellamy Court,Kingston upon Hull,r,53.7484,-0.3107
Bellamy Court,Middlesbrough,r,54.5666,-1.2023
Bellamy Drive,Kirkby-in-Ashfield,r,53.0939,-1.2496
Bellamy Drive,Leigh,r,53.4993,-2.5050
Bellamy Road,Liverpool,r,53.4446,-2.9745
Bellamy Road,Mansfield,r,53.1265,-1.1589
Belland Lane,Stone Edge,r,53.1973,-1.4957
Bellard Drive,Chester,r,53.2037,-2.8641
Bellasis Close,Newton Aycliffe,r,54.6237,-1.5652
Bellasize Lane,Bellasize,r,53.741,-0.7496
Bellasize Park,Gilberdyke,r,53.7506,-0.7396
Bellasize,East Riding of Yorkshire,o,53.741,-0.7496
