Chipstead Walk,Strensall,r,54.0331,-1.0400
Chipstead Close,Hartford,r,53.2436,-2.5541
Chipstead Avenue,Manchester,r,53.4644,-2.2069
Chippinghouse Road,Sheffield,r,53.363,-1.4774
Chippingham Street,Sheffield,r,53.393,-1.4272
Chippingham Place,Sheffield,r,53.3925,-1.4329
Chippingdall Close,Warrington,r,53.3905,-2.6279
Chipping,Ribble Valley,v,53.8852,-2.5774
Chipping Street,Padiham,r,53.8019,-2.3120
Chipping Square,Manchester,r,53.4579,-2.1971
Chipping Road,Bolton,r,53.5942,-2.4749
Chipping Lane,Ribble Valley,r,53.8509,-2.5932
Chipping Grove,Burnley,r,53.7842,-2.2182
Chipping Grove,Blackpool,r,53.8318,-3.0138
Chipping Fold,Milnrow,r,53.6056,-2.1073
Chipping Close,Warrington,r,53.4629,-2.5253
Chipping Avenue,Southport,r,53.602,-3.0545
Chippenham Road,Nottingham,r,53.0005,-1.1498
Chippenham Road,Middlesbrough,r,54.5444,-1.2207
Chippenham Road,Manchester,r,53.4843,-2.2198
Chippenham Avenue,Stockport,r,53.4002,-2.1292
Chippenham Avenue,Greasby,r,53.3793,-3.1243
Chippendale Road,Lincoln,r,53.2097,-0.5963
Chippendale Rise,Otley,r,53.9143,-1.6907
Chippendale Rise,Bradford,r,53.8016,-1.8049
Chippendale Place,Harrogate,r,53.996,-1.5338
Chippendale Place,Ashton-under-Lyne,r,53.4995,-2.0722
Chippendale Close,Lincoln,r,53.2094,-0.5970
Chippendale Close,Humberston,r,53.5331,-0.0231
Chipmunk Way,Newton,r,52.9646,-0.9759
Chipchase,Washington,r,54.8962,-1.5512
Chipchase Terrace,Jarrow,r,54.9636,-1.4887
Chipchase Road,Middlesbrough,r,54.5609,-1.2454
Chipchase Mews,Newcastle upon Tyne,r,55.0272,-1.6368
Chipchase Crescent,Newcastle upon Tyne,r,55.0004,-1.6973
Chipchase Court,Woodstone Village,r,54.8463,-1.5218
Chipchase Court,Seaham,r,54.8518,-1.3679
Chipchase Court,New Hartley,r,55.0831,-1.5240
Chipchase Close,Pegswood,r,55.1806,-1.6409
Chipchase Close,Bedlington,r,55.1352,-1.6106
Chipchase Avenue,Cramlington,r,55.0831,-1.5789
Chip Hill Road,Bolton,r,53.5639,-2.4677
