Cox Green Close,Bolton,r,53.634,-2.4418
Cox Green Road,Bolton,r,53.6296,-2.4349
Cox Green,Bolton,a,53.618,-2.4262
Cox Green,Sunderland,h,54.8911,-1.4918
Cox Lane,Crowle,r,53.6106,-0.8363
Cox Place,Sheffield,r,53.4067,-1.5219
Cox Road,Sheffield,r,53.405,-1.5205
Cox Street,Ulverston,r,54.1937,-3.0898
Cox Way,Atherton,r,53.5261,-2.4892
Cox's Court,Hibaldstow,r,53.5091,-0.5200
Cox's Hill,Gainsborough,r,53.4018,-0.7685
Cox's Lane,Mansfield Woodhouse,r,53.1723,-1.1986
Coxbank,Cheshire East,h,52.9732,-2.5138
Coxbench Road,Coxbench,r,52.9903,-1.4407
Coxbench,Amber Valley,v,52.9882,-1.4472
Coxfield,Shevington Vale,r,53.5772,-2.7143
Coxfoot Close,South Shields,r,54.9716,-1.4345
Coxgreen Close,Stockton-on-Tees,r,54.5792,-1.3538
Coxgreen Road,Sunderland,r,54.8819,-1.4974
Coxheath,Birkenhead,r,53.3704,-3.0071
Coxhoe Road,Billingham,r,54.6112,-1.2789
Coxhoe,County Durham,v,54.715,-1.5025
Coxlea Grove,York,r,53.965,-1.0425
Coxley Court,Rossington,r,53.4718,-1.0581
Coxley Crescent,Netherton,r,53.645,-1.5814
Coxley Dell,Coxley,r,53.6542,-1.5770
Coxley Lane,Coxley,r,53.6515,-1.5830
Coxley Mount,Rossington,r,53.4783,-1.0522
Coxley View,Netherton,r,53.6439,-1.5848
Coxley,Wakefield,v,53.6544,-1.5823
Coxlodge Road,Newcastle upon Tyne,r,55.0094,-1.6391
Coxlodge Terrace,Newcastle upon Tyne,r,55.009,-1.6385
Coxmoor Road,Sutton in Ashfield,r,53.1106,-1.2199
Coxmoor Way,New Marske,r,54.5774,-1.0474
Coxon Street,Gateshead,r,54.9572,-1.5386
Coxon Street,Sunderland,r,54.9014,-1.3753
Coxton Road,Wythenshawe,r,53.3735,-2.2554
Coxwain Close,Filey,r,54.2044,-0.2940
Coxwold Close,Middlesbrough,r,54.5453,-1.2436
Coxwold Drive,Darlington,r,54.5157,-1.5379
Coxwold Grove,Kingston upon Hull,r,53.7379,-0.3931
Coxwold Hill,Wetherby,r,53.9361,-1.3888
Coxwold Road,Stockton-on-Tees,r,54.5612,-1.3394
Coxwold View,Wetherby,r,53.9355,-1.3891
Coxwold Way,Billingham,r,54.6012,-1.2648
Coxwold,Hambleton,v,54.1873,-1.1815
