Gargrave,Craven,v,53.9832,-2.1054
Gargrave Street,Salford,r,53.5115,-2.2880
Gargrave Street,Oldham,r,53.5389,-2.0954
Gargrave Road,Craven,r,53.9631,-2.0313
Gargrave Road,Broughton,r,53.958,-2.0905
Gargrave Place,Wakefield,r,53.6769,-1.5442
Gargrave Place,Leeds,r,53.8021,-1.5194
Gargrave Place,Hemsworth,r,53.6108,-1.3626
Gargrave House Gardens,Gargrave,r,53.9879,-2.1106
Gargrave Crescent,Hemsworth,r,53.6105,-1.3622
Gargrave Close,Brighouse,r,53.6898,-1.8058
Gargrave Avenue,Bolton,r,53.5946,-2.4754
Gargrave Approach,Leeds,r,53.8014,-1.5194
Garganey Walk,Scunthorpe,r,53.5622,-0.6123
