Lion Bridge Close,Wynyard Village,r,54.6265,-1.3304
Lion Brow,Manchester,r,53.524,-2.2165
Lion Close,Nottingham,r,52.9809,-1.1958
Lion Court,Burley in Wharfedale,r,53.9141,-1.7486
Lion Court,Church,r,53.7545,-2.3888
Lion Court,Middlewich,r,53.1934,-2.4506
Lion Fold Lane,Manchester,r,53.5248,-2.2167
Lion Grove,Newcastle-under-Lyme,r,53.0428,-2.2546
Lion Lane,Blackrod,r,53.5937,-2.5834
Lion Street,Church,r,53.7559,-2.3898
Lion Street,Congleton,r,53.1618,-2.2158
Lion Street,Manchester,r,53.5225,-2.2194
Lion Street,Stoke-on-Trent,r,53.0037,-2.1925
Lion Street,Todmorden,r,53.7075,-2.1037
Lionel Grove,Stoke-on-Trent,r,53.0018,-2.2072
Lionel Street,Burnley,r,53.7925,-2.2720
Lionel Street,Ossett,r,53.6735,-1.5720
Lionel Street,St Helens,r,53.4328,-2.6992
Lionheart Court,Helsby,r,53.2709,-2.7703
Lions Close,Birkenhead,r,53.3902,-3.0542
Lions Close,Cheshire East,r,53.0988,-2.3280
Lions Drive,Blackburn,r,53.7299,-2.4468
Lions Drive,Swinton,r,53.5092,-2.3325
