Newway,Huyton with Roby,r,53.4229,-2.8676
New Wye Street,Buxton,r,53.2599,-1.9092
New Wortley,Leeds,a,53.792,-1.5698
New Wortley Road,Rotherham,r,53.4336,-1.3736
New Works Road,Bradford,r,53.7505,-1.7617
New Windsor,Salford,a,53.4843,-2.2786
New Windsor Drive,Rothwell,r,53.7538,-1.4718
New William Close,Partington,r,53.4198,-2.4249
New Whittington,Chesterfield,a,53.2775,-1.4048
New Westwood,Ashfield,a,53.0621,-1.3192
New Wellington Street,Blackburn,r,53.7322,-2.4995
New Wellington Mews,Blackburn,r,53.7326,-2.4959
New Wellington Gardens,Blackburn,r,53.7325,-2.4977
New Wellington Close,Blackburn,r,53.7325,-2.4967
New Wellgate,Castleford / Lagentivm Roman Town,r,53.7165,-1.3360
New Welcome Street,Manchester,r,53.4682,-2.2491
New Way,Whitworth,r,53.6621,-2.1793
New Way,West Lancashire,r,53.5206,-2.8562
New Way,Scarborough,r,54.4348,-0.9096
New Way,Guiseley,r,53.8753,-1.7268
New Way,Batley,r,53.7136,-1.6356
New Warrington Road,Cheshire West and Chester,r,53.2669,-2.4962
New Waltham,North East Lincolnshire,v,53.5242,-0.0612
New Walkergate,Beverley,r,53.8431,-0.4290
New Walk,North Ferriby,r,53.7185,-0.5050
New Walk,Driffield,r,54.0049,-0.4274
New Walk,Beverley,r,53.8481,-0.4407
New Walk Terrace,York,r,53.95,-1.0767
New Walk Orchard Park,York,r,53.9402,-1.0813
New Walk Close,Driffield,r,54.0048,-0.4306
New Wakefield Street,Manchester,r,53.4736,-2.2418
