Rasbottom Street,Bolton,r,53.5716,-2.4383
Rascal Moor,East Riding of Yorkshire,h,53.8221,-0.7600
Raseby Avenue,Sheffield,r,53.3385,-1.3536
Raseby Close,Sheffield,r,53.3384,-1.3536
Raseby Place,Sheffield,r,53.3389,-1.3543
Rasen Close,Mexborough,r,53.5019,-1.2778
Rasen Lane,Lincoln,r,53.2383,-0.5412
Rashcliffe Hill Road,Huddersfield,r,53.6385,-1.7909
Rashcliffe,Kirklees,a,53.637,-1.7914
Rashdall Road,Carlisle,r,54.879,-2.9596
Raskelf Avenue,Stockton-on-Tees,r,54.5857,-1.3395
Raskelf Road,Brafferton,r,54.125,-1.3306
Raskelf Road,Easingwold,r,54.1224,-1.2098
Raskelf,Hambleton,v,54.1298,-1.2458
Raspberry Lane,Salford,r,53.4608,-2.4196
Rassbottom Brow,Stalybridge,r,53.4855,-2.0639
Rassbottom Street,Stalybridge,r,53.4851,-2.0643
Rassey Close,Standish,r,53.5766,-2.6446
Rastrick Common,Brighouse,r,53.6936,-1.7864
Rastrick,Calderdale,a,53.6901,-1.7943
