Reid Avenue,Wallsend,r,54.9994,-1.5380
Reid Avenue,Warrington,r,53.4044,-2.6068
Reid Close,Denton,r,53.4408,-2.1003
Reid Close,Ingleton,r,54.1499,-2.4664
Reid Court,Ellesmere Port,r,53.2903,-2.9397
Reid Gardens,Watnall,r,52.9999,-1.2435
Reid Park Avenue,Horbury,r,53.659,-1.5739
Reid Park Close,Newcastle upon Tyne,r,54.9936,-1.6015
Reid Park Court,Newcastle upon Tyne,r,54.9932,-1.6004
Reid Park Road,Newcastle upon Tyne,r,54.9932,-1.5994
Reid Park,Haxby,r,54.0179,-1.0716
Reid Street,Crewe,r,53.1071,-2.4473
Reid Street,Darlington,r,54.5333,-1.5638
Reid Street,Stoke-on-Trent,r,53.0433,-2.2072
Reid Terrace,Guisborough,r,54.5361,-1.0537
Reid's Lane,Seghill,r,55.0609,-1.5607
Reigate Avenue,Middlesbrough,r,54.5526,-1.2433
Reigate Close,Bury,r,53.5886,-2.3216
Reigate Close,Kingston upon Hull,r,53.7702,-0.2845
Reigate Close,Liverpool,r,53.377,-2.8532
Reigate Close,Stockton-on-Tees,r,54.5889,-1.3386
Reigate Road,Nottingham,r,52.9795,-1.1737
Reigate Road,Urmston,r,53.4414,-2.3902
Reigate Square,Cramlington,r,55.0905,-1.5817
Reigate,Chorley,r,53.6701,-2.6123
Reighton Avenue,York,r,53.9787,-1.1029
Reighton Court,Reighton,r,54.1582,-0.2673
Reighton Croft,Bradford,r,53.8273,-1.7090
Reighton Drive,York,r,53.9798,-1.1018
Reighton Sands,Scarborough,o,54.1695,-0.2566
Reighton,Scarborough,v,54.1582,-0.2680
Reilly Mews,Pocklington,r,53.9275,-0.7799
Reilly Street,Manchester,r,53.4683,-2.2488
Reilly Way,Barmby Moor,r,53.9333,-0.8122
Rein Court,Aberford,r,53.8352,-1.3411
Rein Gardens,West Ardsley,r,53.7285,-1.5860
Rein Mews,West Ardsley,r,53.7281,-1.5862
Rein Road,Horsforth,r,53.8287,-1.6316
Rein Road,Leeds,r,53.7311,-1.5895
Rein Street,Morley,r,53.7338,-1.5912
Reina Drive,Driffield,r,54.0077,-0.4528
Reindeer Street,Mansfield,r,53.1403,-1.1793
Reins Avenue,Baildon,r,53.8423,-1.7761
Reins Croft,Neston,r,53.2973,-3.0643
Reins Lee Avenue,Oldham,r,53.5197,-2.1030
Reins Lee Road,Ashton-under-Lyne,r,53.5025,-2.1027
Reins Road,Brighouse,r,53.6932,-1.7985
Reins,Harrogate,r,54.0433,-1.4109
Reinwood Avenue,Huddersfield,r,53.6496,-1.8208
Reinwood Avenue,Leeds,r,53.8201,-1.4850
Reinwood Road,Huddersfield,r,53.6494,-1.8200
Reiver Road,Leyland,r,53.7019,-2.7268
Reiverdale Road,Ashington,r,55.1847,-1.5651
Reivers Gate,Longhorsley,r,55.2468,-1.7687
