Ryehills,Miles Green,r,53.0481,-2.2996
Ryehills Road,Skinburness,r,54.8888,-3.3690
Ryehills Drive,Marske-by-the-Sea,r,54.5936,-1.0096
Ryehill,East Riding of Yorkshire,v,53.7131,-0.1376
Ryehill View,East Rainton,r,54.8264,-1.4803
Ryehill Road,Powfoot,r,54.9784,-3.3333
Ryehill Road,Flimby,r,54.6907,-3.5176
Ryehill Park,Smithfield,r,54.9806,-2.8746
Ryehill Lane,Ryehill,r,53.7151,-0.1458
Ryehill Grove,Kingston upon Hull,r,53.7605,-0.2855
Ryehill Gardens,Hartlepool,r,54.6924,-1.2352
Ryehill Close,New Earswick,r,53.9965,-1.0724
Ryehill Close,Middlesbrough,r,54.5211,-1.1794
Ryehill Avenue,Chesterfield,r,53.2321,-1.4765
Ryeheys Road,Lytham St Anne's,r,53.7581,-3.0329
Ryehaugh,Ponteland,r,55.0505,-1.7392
Rye Hill,Westhoughton,r,53.5458,-2.5189
Rye Hill,Newcastle upon Tyne,r,54.968,-1.6288
Rye Hill,Darlington,r,54.5368,-1.5710
Rye Hill Way,Middlesbrough,r,54.5132,-1.2094
Rye Hill Crescent,Flimby,r,54.691,-3.5166
Rye Hey Road,Kirkby,r,53.4803,-2.8830
