Stadmorslow Lane,Newcastle-under-Lyme,r,53.0945,-2.1951
Stadium Way,Wigan,r,53.549,-2.6553
Stadium Way,Sunderland,r,54.9151,-1.3857
Stadium Way,South Elmsall,r,53.6029,-1.2802
Stadium Way,Sheffield,r,53.3883,-1.4322
Stadium Way,Rawmarsh,r,53.4437,-1.3448
Stadium Way,Leeds,r,53.7784,-1.5695
Stadium Way,Huddersfield,r,53.653,-1.7714
Stadium Way,Doncaster,r,53.5093,-1.1155
Stadium Way,Chester,r,53.197,-2.9063
Stadium Road,Gateshead,r,54.9615,-1.5829
Stadium Road,Bradford,r,53.7636,-1.7597
Stadium Road,Bebington,r,53.3395,-2.9722
Stadium Industrial Park,Gateshead,r,54.9614,-1.5841
Stadium Gardens,Middlesbrough,r,54.5647,-1.2272
Stadium Drive,Manchester,r,53.4766,-2.2071
Stadium Court,Stoke-on-Trent,r,53.0348,-2.1892
Stadium Court,Rawmarsh,r,53.4476,-1.3528
Stadium Court,Bebington,r,53.336,-2.9684
Stadium Close,Worksop,r,53.3208,-1.1456
Stadium Avenue,Blackpool,r,53.784,-3.0328
Staden,High Peak,h,53.2504,-1.8963
Staden Lane,Buxton,r,53.2445,-1.8941
Staddlethorpe,East Riding of Yorkshire,h,53.72,-0.7215
Staddlethorpe,East Riding of Yorkshire,a,53.7456,-0.7332
Staddlethorpe Broad Lane,East Riding of Yorkshire,r,53.732,-0.7269
St Adens Way,Peterlee,r,54.7562,-1.3355
