Tanhouse,West Lancashire,a,53.5487,-2.7629
Tanhouse,Galgate,r,53.9945,-2.7883
Tanhouse Street,Dewsbury,r,53.6805,-1.6583
Tanhouse Road,Urmston,r,53.4513,-2.3986
Tanhouse Road,Skelmersdale,r,53.5452,-2.7556
Tanhouse Road,Crosby,r,53.4965,-2.9972
Tanhouse Park,Brighouse,r,53.7252,-1.8153
Tanhouse Lane,Low Ackworth,r,53.6498,-1.3227
Tanhouse Lane,Kirklees,r,53.6511,-1.6849
Tanhouse Lane,Chorley,r,53.6807,-2.6116
Tanhouse Hill,Horsforth,r,53.8349,-1.6198
Tanhouse Hill,Brighouse,r,53.7255,-1.8162
Tanhouse Avenue,Tyldesley,r,53.5072,-2.4448
Tanhill Lane,Oldham,r,53.521,-2.1033
Tanhill Close,Stockport,r,53.3962,-2.1201
Tan House Lane,Wilsden,r,53.8254,-1.8689
Tan House Lane,Wigan,r,53.5198,-2.6771
Tan House Lane,Widnes,r,53.3644,-2.7148
Tan House Lane,Warrington,r,53.4239,-2.6461
Tan House Lane,Wakefield,r,53.6422,-1.3190
Tan House Lane,Parbold,r,53.593,-2.7676
Tan House Lane,Calderdale,r,53.7497,-1.8316
Tan House Drive,Wigan,r,53.5204,-2.6727
Tan House Close,Parbold,r,53.5933,-2.7678
Tan Hills,County Durham,v,54.8224,-1.5979
Tan Hill Drive,Lancaster,r,54.0643,-2.7989
