Teven Street,Bamber Bridge,r,53.7294,-2.6614
Teversal Avenue,Mansfield,r,53.1685,-1.2431
Teversal,Ashfield,v,53.1525,-1.2816
Teversham,Skelmersdale,r,53.5534,-2.7924
Teville Court,Bradford,r,53.7815,-1.7385
Teviot Avenue,Fleetwood,r,53.9169,-3.0393
Teviot Road,Nottingham,r,52.9941,-1.1719
Teviot Street,Easington Lane,r,54.8044,-1.4342
Teviot Street,Gateshead,r,54.952,-1.5906
Teviot Street,Manchester,r,53.4604,-2.2074
Teviot Way,Jarrow,r,54.9728,-1.4960
Teviot,Washington,r,54.8825,-1.5448
Teviotdale Gardens,Newcastle upon Tyne,r,54.9999,-1.5813
