Whirlowdale Road,Sheffield,r,53.3408,-1.5123
Whirlowdale Rise,Sheffield,r,53.3414,-1.5280
Whirlowdale Crescent,Sheffield,r,53.3452,-1.5086
Whirlowdale Close,Sheffield,r,53.3407,-1.5271
Whirlow,Sheffield,a,53.3402,-1.5270
Whirlow Road,Crewe,r,53.0766,-2.4547
Whirlow Park Road,Sheffield,r,53.3383,-1.5239
Whirlow Mews,Sheffield,r,53.3438,-1.5264
Whirlow Lane,Sheffield,r,53.3443,-1.5278
Whirlow Grove,Sheffield,r,53.3413,-1.5246
Whirlow Green,Sheffield,r,53.3406,-1.5298
Whirlow Grange Drive,Sheffield,r,53.3413,-1.5307
Whirlow Grange Close,Sheffield,r,53.3414,-1.5307
Whirlow Grange Avenue,Sheffield,r,53.342,-1.5304
Whirlow Croft,Sheffield,r,53.3443,-1.5249
Whirlow Court Road,Sheffield,r,53.3418,-1.5239
Whirlow Chapel Road,Waverley,r,53.3816,-1.3719
Whirley Road,Macclesfield,r,53.2649,-2.1738
Whirley Lane,Cheshire East,r,53.2656,-2.1965
Whirley Grove,Cheshire East,v,53.2673,-2.1798
Whirley Close,Stockport,r,53.4271,-2.1720
Whirley Close,Middlewich,r,53.1827,-2.4494
Whirlaw Lane,Calderdale,r,53.7277,-2.0964
Whirlaw Avenue,Todmorden,r,53.7239,-2.1042
